symbol,date,close
AAPL,2025-06-02,134.30
AAPL,2025-06-03,133.43
AAPL,2025-06-04,130.92
AAPL,2025-06-05,130.33
AAPL,2025-06-06,133.20
AAPL,2025-06-09,134.30
AAPL,2025-06-10,137.05
AAPL,2025-06-11,137.71
AAPL,2025-06-12,138.76
AAPL,2025-06-13,139.25
AAPL,2025-06-16,134.58
AAPL,2025-06-17,136.85
AAPL,2025-06-18,138.21
AAPL,2025-06-19,139.55
AAPL,2025-06-20,134.80
AAPL,2025-06-23,130.07
AAPL,2025-06-24,127.73
AAPL,2025-06-25,126.51
AAPL,2025-06-26,127.25
AAPL,2025-06-27,127.11
AAPL,2025-06-30,128.40
AAPL,2025-07-01,126.73
AAPL,2025-07-02,127.48
AAPL,2025-07-03,128.46
AAPL,2025-07-04,126.73
AAPL,2025-07-07,131.06
AAPL,2025-07-08,132.49
AAPL,2025-07-09,135.63
AAPL,2025-07-10,133.92
AAPL,2025-07-11,131.91
AAPL,2025-07-14,130.97
AAPL,2025-07-15,130.66
AAPL,2025-07-16,132.29
AAPL,2025-07-17,132.91
AAPL,2025-07-18,131.70
AAPL,2025-07-21,129.15
AAPL,2025-07-22,127.77
AAPL,2025-07-23,130.87
AAPL,2025-07-24,128.72
AAPL,2025-07-25,129.32
AAPL,2025-07-28,130.40
AAPL,2025-07-29,126.48
AAPL,2025-07-30,126.58
AAPL,2025-07-31,129.86
AAPL,2025-08-01,124.60
AAPL,2025-08-04,123.77
AAPL,2025-08-05,123.48
AAPL,2025-08-06,121.44
AAPL,2025-08-07,122.62
AAPL,2025-08-08,122.44
AAPL,2025-08-11,118.82
AAPL,2025-08-12,120.76
AAPL,2025-08-13,122.36
AAPL,2025-08-14,124.64
AAPL,2025-08-15,128.21
AAPL,2025-08-18,129.11
AAPL,2025-08-19,129.39
AAPL,2025-08-20,126.00
AAPL,2025-08-21,127.52
AAPL,2025-08-22,125.93
AAPL,2025-08-25,124.76
AAPL,2025-08-26,121.58
AAPL,2025-08-27,119.20
AAPL,2025-08-28,117.91
AAPL,2025-08-29,120.92
AAPL,2025-09-01,115.98
AAPL,2025-09-02,112.58
AAPL,2025-09-03,113.09
AAPL,2025-09-04,116.33
AAPL,2025-09-05,117.65
AAPL,2025-09-08,113.15
